         13818570 function calls (13376631 primitive calls) in 83.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1475    0.020    0.000    1.300    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:293(motion_notify_event)
        1    0.000    0.000    1.193    1.193 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\GUI.py:191(save_all)
        1    0.001    0.001    1.192    1.192 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\data_viewer.py:188(save_as_csv)
        1    0.000    0.000    1.189    1.189 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\messagebox.py:86(showinfo)
        1    0.000    0.000    1.189    1.189 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\messagebox.py:71(_show)
    13486    0.157    0.000    1.167    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:743(draw)
      342    0.005    0.000    1.165    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:2403(_update_label_position)
      342    0.004    0.000    1.086    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:2644(_update_label_position)
     4724    0.039    0.000    1.081    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:186(draw_text)
      289    0.001    0.000    1.080    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:207(get_text_width_height_descent)
      268    0.001    0.000    1.078    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
      277    0.003    0.000    1.043    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_mathtext.py:2159(parse)
  688/411    0.001    0.000    1.043    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\util.py:372(_inner)
  579/302    0.005    0.000    1.041    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:1145(parse_string)
64430/302    0.203    0.000    1.038    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:973(_parseCache)
61586/302    0.126    0.000    1.033    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:806(_parseNoCache)
19908/302    0.028    0.000    1.023    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:4123(parseImpl)
     4192    0.013    0.000    0.997    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\ticker.py:2169(__call__)
  607/327    0.001    0.000    0.983    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:5172(parseImpl)
 2066/327    0.007    0.000    0.982    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:5062(parseImpl)
     1550    0.019    0.000    0.975    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1311(__init__)
4303/1108    0.006    0.000    0.972    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:278(wrapper)
     1497    0.019    0.000    0.967    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1407(__init__)
      341    0.002    0.000    0.960    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_tkagg.py:13(blit)
      341    0.002    0.000    0.958    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:70(blit)
      341    0.002    0.000    0.949    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:56(_blit)
      277    0.001    0.000    0.944    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_mathtext.py:2196(math_string)
      341    0.943    0.003    0.943    0.003 {built-in method matplotlib.backends._tkagg.blit}
        2    0.000    0.000    0.932    0.466 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:699(toggle_segmentation_mode)
        1    0.000    0.000    0.928    0.928 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:758(process_segments)
     4192    0.015    0.000    0.905    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\ticker.py:2173(tick_values)
 5810/589    0.009    0.000    0.867    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:4641(parseImpl)
 5762/554    0.008    0.000    0.866    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:5579(parseImpl)
