         5335225 function calls (5159150 primitive calls) in 139.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    1.877    0.375 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:311(button_press_event)
        5    0.000    0.000    1.762    0.352 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:626(on_segment_click)
        1    0.000    0.000    1.483    1.483 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\filedialog.py:379(askopenfilename)
        1    0.000    0.000    1.483    1.483 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\commondialog.py:32(show)
        4    0.000    0.000    1.469    0.367 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\_function_base_impl.py:897(copy)
     1679    0.090    0.000    1.392    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cm.py:354(to_rgba)
     1679    0.294    0.000    1.261    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:713(__call__)
     1679    0.582    0.000    1.014    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:1364(__call__)
      124    0.002    0.000    0.962    0.008 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1415(draw)
      634    0.011    0.000    0.643    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:293(motion_notify_event)
      676    0.013    0.000    0.570    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1311(__init__)
      644    0.029    0.000    0.563    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1407(__init__)
     2182    0.018    0.000    0.531    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:737(draw)
      666    0.004    0.000    0.531    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1817(inaxes)
      666    0.005    0.000    0.522    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1832(<listcomp>)
     1332    0.016    0.000    0.516    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:178(contains_point)
     2396    0.046    0.000    0.469    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:358(_get_layout)
     1679    0.416    0.000    0.437    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\numeric.py:218(ones_like)
    10015    0.041    0.000    0.422    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\ma\core.py:2833(__new__)
      730    0.004    0.000    0.405    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:269(draw)
     5037    0.026    0.000    0.385    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:1324(process_value)
     6657    0.010    0.000    0.356    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\ma\core.py:6779(array)
     1679    0.331    0.000    0.331    0.000 {method 'take' of 'numpy.ndarray' objects}
      412    0.012    0.000    0.319    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1295(_update_ticks)
     4792    0.008    0.000    0.314    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
38802/29901    0.019    0.000    0.306    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:292(wrapper)
     8813    0.021    0.000    0.302    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1482(transform)
     3380    0.280    0.000    0.280    0.000 {built-in method numpy.zeros}
     2094    0.008    0.000    0.279    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:306(get_transform)
   103868    0.278    0.000    0.278    0.000 {method 'copy' of 'numpy.ndarray' objects}
49029/12624    0.142    0.000    0.276    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2450(get_affine)
     1696    0.028    0.000    0.251    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:790(get_patch_transform)
     1913    0.013    0.000    0.245    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:918(get_window_extent)
     8813    0.008    0.000    0.235    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2425(transform_affine)
       87    0.000    0.000    0.235    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:207(get_text_width_height_descent)
       66    0.000    0.000    0.233    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
     1338    0.008    0.000    0.230    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\path.py:502(contains_point)
      264    0.000    0.000    0.223    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1347(_get_ticklabel_bboxes)
      264    0.002    0.000    0.222    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1351(<listcomp>)
       70    0.000    0.000    0.217    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\mathtext.py:62(parse)
       13    0.001    0.000    0.216    0.017 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\mathtext.py:81(_parse_cached)
