11202292 function calls (10803815 primitive calls) in 198.083 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1392    0.024    0.000    1.190    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:1384(__init__)
  15334/5    0.035    0.000    1.136    0.227 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
     1467    0.017    0.000    1.106    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:1803(inaxes)
     2473    0.016    0.000    1.076    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:179(contains_point)
    10633    0.060    0.000    0.987    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\ma\core.py:2879(__new__)
        2    0.000    0.000    0.986    0.493 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\tkinter\__init__.py:2439(__init__)
        2    0.982    0.491    0.982    0.491 {built-in method _tkinter.create}
     6426    0.049    0.000    0.973    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colors.py:2214(process_value)
    21371    0.066    0.000    0.939    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1472(transform)
     8489    0.021    0.000    0.922    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\ma\core.py:6905(array)
88938/26853    0.419    0.000    0.770    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2431(get_affine)
      775    0.014    0.000    0.770    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\spines.py:142(get_window_extent)
     3466    0.009    0.000    0.764    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:2228(__call__)
     1733    0.003    0.000    0.751    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1644(get_major_ticks)
    21371    0.026    0.000    0.751    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2408(transform_affine)
  426/324    0.002    0.000    0.738    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1585(_get_tick)
     3466    0.010    0.000    0.698    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:2232(tick_values)
     5090    0.017    0.000    0.673    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:307(get_transform)
     3466    0.087    0.000    0.637    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:2159(_raw_ticks)
     3839    0.067    0.000    0.599    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:800(get_patch_transform)
  182/151    0.001    0.000    0.591    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\util.py:372(_inner)
    74/42    0.001    0.000    0.588    0.014 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:1145(parse_string)
  6510/42    0.023    0.000    0.587    0.014 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:973(_parseCache)
    93/32    0.001    0.000    0.575    0.018 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\mathtext.py:62(parse)
       16    0.000    0.000    0.574    0.036 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\mathtext.py:88(_parse_cached)
       16    0.002    0.000    0.573    0.036 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_mathtext.py:142(to_raster)
    17/16    0.000    0.000    0.571    0.036 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_mathtext.py:2159(parse)
       24    0.534    0.022    0.534    0.022 {built-in method _io.open}
      426    0.021    0.000    0.525    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:59(__init__)
     2490    0.032    0.000    0.506    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\path.py:502(contains_point)
     1733    0.023    0.000    0.492    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1527(get_minorticklocs)
  236/185    0.005    0.000    0.450    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:367(__init__)
   127325    0.174    0.000    0.416    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1886(__init__)
  148/112    0.001    0.000    0.408    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1115(set_clip_path)
       34    0.001    0.000    0.406    0.012 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\traceback.py:449(_extract_from_extended_frame_gen)
     1733    0.004    0.000    0.404    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1523(get_majorticklocs)
       96    0.001    0.000    0.400    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\traceback.py:367(line)
      164    0.001    0.000    0.399    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\traceback.py:341(_set_lines)
       72    0.001    0.000    0.398    0.006 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\linecache.py:21(getline)
       72    0.000    0.000    0.397    0.006 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\linecache.py:31(getlines)
        8    0.000    0.000    0.397    0.050 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\linecache.py:80(updatecache)
        1    0.000    0.000    0.396    0.396 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:1614(subplots)
       22    0.001    0.000    0.396    0.018 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1439(clear)
       22    0.003    0.000    0.395    0.018 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1307(__clear)
     4835    0.363    0.000    0.389    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:744(draw)
     2371    0.032    0.000    0.384    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:652(intersection)
        8    0.001    0.000    0.380    0.048 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\tokenize.py:443(open)
        1    0.000    0.000    0.374    0.374 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:872(figure)
        1    0.000    0.000    0.373    0.373 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:549(new_figure_manager)
        1    0.000    0.000    0.369    0.369 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:3494(new_figure_manager)
        1    0.000    0.000    0.368    0.368 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:3503(new_figure_manager_given_figure)
        1    0.000    0.000    0.368    0.368 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:1772(new_manager)
        1    0.000    0.000    0.368    0.368 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\_backend_tk.py:500(create_with_canvas)
   128/92    0.009    0.000    0.367    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:888(reset_ticks)
4980/2490    0.037    0.000    0.365    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2361(frozen)
